Series_epoch_name,Series_epoch_value,Series_epoch_error,rse,gse,bse
Holocene,0,NA,254,242,224
Pleistocene,0.0117,NA,255,242,174
Pliocene,2.58,NA,255,255,153
Miocene,5.333,NA,255,255,0
Oligocene,23.03,NA,253,192,122
Eocene,33.9,NA,253,180,108
Paleocene,56,NA,253,167,95
L Cretaceous,66,NA,166,216,74
E Cretaceous,100.5,NA,140,205,87
L Jurassic,145,NA,179,227,238
M Jurassic,163.5,1,128,207,216
E Jurassic,174.1,1,66,174,208
L Triassic,201.3,0.2,189,140,195
M Triassic,237,NA,177,104,177
E Triassic,247.2,NA,152,57,153
Lopingian,251.902,0.06,251,167,148
Guadalupian ,259.1,,251,116,92
Cisuralian ,272.95,,239,88,69
Pennsylvanian ,298.9,,153,194,181
Mississippian,323.2,,103,143,102
L Devonian,358.9,,241,225,157