X,Y,Z,River_mouth_Lengh_m,Flexure_m,Accumulation_m,Accumulation_max_m,Flexure_min_m,Flexure_mean_m,Flexure_max_m
0,0,0,0,0,0,0,0,0,0
2086378.665,1006837.547,-0.294096113,2269505.072,-3.080593573,-27.58669616,9.438046886,-12.00227231,-2.596047687,3.203048912
2088389.913,1016447.26,-0.26915829,2279322.999,-5.416470947,-44.50642744,30.47898119,-24.80503166,-5.348684645,7.303819176
2117287.925,988865.4897,-0.480071709,2306284.327,-14.71418535,-6.464755855,45.27314455,-37.57240675,-11.16797782,10.37319178
2082580.186,995324.6396,-0.024623224,2269827.748,-7.350627991,10.7178744,60.57667905,-49.94470652,-9.25283666,15.31458186
2069499.639,992737.7942,-0.041249335,2256493.863,-4.313632914,-52.48768895,73.09524266,-60.47443553,-8.326334239,19.98855166
2069499.639,992737.7942,-0.025307738,2256493.863,-3.970438435,-53.73900668,80.12995472,-72.06798174,-9.247417851,24.23153844
2069499.639,992737.7942,-0.009081167,2256493.863,-3.687043754,-54.92414215,84.89238104,-83.875674,-10.13882102,28.66308484
2082580.186,995324.6396,-0.02629224,2269827.748,-8.07869462,4.844475334,89.97220927,-100.278432,-14.83677496,32.06653389
2082580.186,995324.6396,-0.00301099,2269827.748,-7.725773262,3.380382806,103.3505038,-112.2166475,-15.69814066,36.32818359
2082580.186,995324.6396,-0.007700858,2269827.748,-7.306796138,1.922377406,112.0033511,-124.1402716,-16.48278696,40.53122033
2091872.331,996099.2746,-0.006706077,2279152.125,-12.75909555,18.74007805,129.2696823,-138.1581497,-21.3307567,43.90899429
2099593.464,990871.6443,-0.068051768,2288476.503,-17.47935584,-34.82016281,136.7297021,-150.3766528,-25.56479212,47.98213169
2099593.464,990871.6443,-0.052251871,2288476.503,-17.27546087,-35.09227206,155.2051765,-161.3039621,-26.42151663,52.05363421
2099593.464,990871.6443,-0.032783334,2288476.503,-16.93008995,-35.47984816,163.6637135,-172.117556,-27.14143166,56.13465617
2099593.464,990871.6443,-0.012513625,2288476.503,-16.46337489,-35.97545458,182.4662198,-182.3424292,-27.66989714,60.2103565
2117287.925,988865.4897,-0.069806687,2306284.327,-35.16768904,9.306045407,202.7050064,-202.4071604,-39.24057955,61.23921142
2117287.925,988865.4897,-0.043443819,2306284.327,-35.20787386,9.359337893,208.9406626,-212.7899309,-40.06347083,65.16666981
2117287.925,988865.4897,-0.005218813,2306284.327,-35.10223152,9.278899768,229.4776222,-222.7318521,-40.71273083,69.06639554
2127979.499,984491.0728,-0.072613389,2317836.178,-42.41640056,8.873232239,234.172943,-237.8047903,-49.53709665,71.40725178
2049350.154,1004496.247,1.800967635,2232223.26,27.45210172,-94.54063796,249.947436,-174.3987591,6.867759147,87.31100199
2035829.004,985422.8198,5.477245133,143172.7162,29.71665711,-56.92323145,262.6074692,-172.3800846,12.02746324,85.38905049
2171701.81,1060044.214,-1.928509908,2449410.965,-89.08864053,210.454635,291.1461384,-286.2037518,-87.93830999,58.61534558
2214853.382,1083098.459,-2.532961414,2495859.549,-137.7464018,314.0388116,312.1083659,-308.1991097,-124.3304492,49.43646727
2115816.905,946141.913,6.412934996,2353931.022,-37.86916015,-9.062188145,320.0736127,-269.8135979,-45.64903019,78.54636403
2121233.469,977028.4296,12.46077446,2324612.347,-39.3522931,9.32082286,334.6231268,-287.3245472,-52.80357621,80.53105458
2140698.337,901266.342,15.52565734,2407907.971,-61.17927153,40.26565704,335.7958032,-308.144559,-69.77116267,77.95232037
2059018.554,984495.2627,23.13406905,2253048.837,20.61049814,-100.5974273,349.3262419,-223.0146097,-0.252674012,99.47587939
2122468.401,1028811.24,26.97641492,2346159.898,-44.03581441,15.44902374,356.1982181,-312.4222302,-59.86758982,86.73049787
2148158.513,829681.1755,14.94848976,2497221.396,-64.78062065,141.3345162,356.8869707,-324.0775568,-74.1084681,82.82787619
2207827.378,921014.9646,12.45876956,2591109.507,-170.311055,362.1159167,361.1780926,-385.9792101,-155.0370209,61.28948136
2281750.945,925761.3611,10.75150236,2667326.966,-275.0074106,574.8845043,364.8921597,-424.0684684,-242.4727083,0.299590847
2227672.46,909970.1247,15.24390789,2514071.512,-204.8989202,427.4603861,374.3747363,-418.1959497,-182.6101671,51.70573127
2165016.041,955739.0387,32.75218639,2437072.195,-120.9690521,277.6155142,382.4511187,-389.8236653,-115.6751314,86.09052193
2190773.831,887459.9368,25.16515403,2464343.346,-146.1436535,318.9986927,381.5222155,-415.0801341,-144.4411252,78.8543332
2223686.748,1004445.959,22.60599958,2479961.011,-201.416034,428.7804744,387.1438612,-446.2599553,-191.9563593,51.90800911
2090459.166,985560.9693,46.17200368,2640602.66,-16.41865722,14.57137981,391.2590942,-321.482217,-35.96283471,107.9174248
2050916.19,969524.5098,55.70158332,2313667.99,26.35901474,-101.935846,403.4847632,-274.1410622,1.878165425,117.4559976
2205246.55,1016413.702,38.33809255,2575580.853,-205.933659,430.5575347,418.0677738,-461.9436562,-184.538738,64.1574756
2109851.489,1047370.642,49.52995557,2465813.572,-43.76966336,17.18534863,426.0619493,-355.8667265,-58.37134617,110.8206215
2109851.489,1047370.642,49,2382700.383,-158.6416546,0.00153426,432.7472923,-170.8289537,-116.7558016,-43.59904326
2212333.725,1049557.187,44.38249855,2562421.562,-211.5260242,437.0311758,449.2642494,-488.260065,-201.7706966,64.6580689
2301247.822,1099704.48,26.47171048,2721598.309,-342.5752991,682.8097241,460.5388098,-537.6536344,-310.5338558,-24.57080664
2363013.292,1131540.934,22.02090659,2782753.529,-411.2069062,842.4571616,469.2127287,-554.085669,-372.180237,-105.2408631
2099593.464,990871.6443,48.74982787,2363090.685,-33.86647388,32.35674723,489.699492,-356.5365047,-51.0654607,116.0648812
2295892.875,902960.6167,27.27789845,2755957.911,-357.5471562,702.0276957,491.7818676,-566.3646401,-321.7295372,-15.49726692
2281687.07,850229.9067,27.92132329,2839493.414,-315.6172755,619.7115854,501.2782383,-556.2130025,-293.3557533,17.75788337
2293409.616,919626.0168,36.02400478,2732397.159,-348.5697108,682.3675209,513.2754057,-585.858021,-329.7358742,-13.58518475
2268948.838,1042355.366,37.55984222,2662980.991,-319.7738223,629.2568368,531.7361383,-573.5606053,-294.426964,17.17508375
2389299.194,919977.1951,20.3304061,2891914.388,-498.7919318,990.8402245,559.5326773,-634.5984709,-458.4915261,-175.1725452
2355689.707,1091247.133,26.6252927,2776271.251,-453.3279442,896.7636854,603.4313625,-634.835266,-409.4891926,-100.9337628
2416455.641,996950.6739,18.26018846,2913482.134,-547.3966561,1097.01155,643.5924806,-665.0690443,-501.6031041,-229.8758292
2348769.885,988578.775,27.37844858,2755174.92,-454.9624512,888.6971056,674.3006868,-666.559559,-423.4783957,-106.5671569
2417111.537,983612.919,21.41085919,2853166.196,-563.4493319,1123.188036,706.688927,-697.360523,-514.5502247,-229.4692948
2211075.582,1028720.076,32.6593184,2612716.576,-212.7477282,429.7470179,734.6916547,-550.2805711,-208.6104474,85.87637381
2332248.779,913526.0037,23.44155476,2803823.795,-426.1694795,818.4272264,764.9746725,-681.6609765,-402.1053991,-68.52455565
2379418.836,773079.6229,14.21131873,2981020.814,-457.0730392,898.2681644,857.0112262,-681.044852,-430.1574191,-107.5555672
2348617.083,900999.509,20.3890788,2809165.632,-453.9495197,871.3025213,925.9830088,-696.0385228,-426.8090887,-91.08025192
2294267.846,833570.0753,23.24749428,2963835.977,-337.7909312,648.0865422,984.7442241,-648.0548164,-329.8797695,17.31853579
2268948.838,1042355.366,31.23436848,2662716.549,-320.4280182,626.5862782,1069.616517,-623.8007308,-301.1493324,29.44217882
2236477.795,1043925.985,32.20932299,2624764.179,-264.0967451,520.7437657,1097.98334,-585.0176852,-247.6490496,70.18733948
2247074.336,1059054.923,30.11519206,2641678.72,-283.2792086,554.1167265,1134.692413,-597.8025436,-263.791544,62.07582814
2321612.941,1175916.298,25.33149006,2821149.836,-381.1653147,739.9594872,1161.607099,-649.2082119,-362.5135863,-7.869214861
2259558.267,998605.66,33.76667887,2668535.751,-305.82875,601.6911113,1191.489568,-623.4791057,-291.6043125,40.61371787
2345661.053,1004473.069,32.42308943,2761522.986,-468.4602021,911.3073148,1230.315561,-726.6537462,-438.8827724,-100.9049541
2242733.477,1019164.649,37.5269773,2648922.305,-271.096235,541.558953,1274.730415,-615.5884417,-264.8444295,61.55089383
2231394.388,1025952.291,37.27769881,2635706.896,-250.2729966,503.7377235,1301.342043,-604.1600304,-244.2270695,77.38256548
2281687.07,850229.9067,33.45313026,2856891.85,-330.804467,639.4116391,1381.397634,-666.9024908,-321.2029834,41.55074889
2382907.467,842806.2916,29.92052795,3022934.546,-506.4659057,973.4886707,1447.244871,-776.5920095,-493.9475484,-139.1426904
2291906.556,868177.9004,31.83736452,2871954.142,-351.0105149,675.618054,1503.889455,-689.9865261,-343.8660291,20.85216035
2281602.138,894034.4201,34.11662547,2778427.98,-333.1679389,644.4196304,1566.766061,-685.4894111,-330.3832283,31.1870578
2111574.316,1007281.961,65.09296162,2418630.233,-33.26955953,55.87459651,1608.467811,-405.1894105,-44.35292968,178.3107987
2242733.477,1019164.649,45.96633878,2675079.128,-275.2169517,551.8096854,1636.669077,-630.2094446,-269.371052,67.03729782
2254929.092,1142416.695,41.15410568,2808963.395,-273.9994584,540.7862358,1657.160456,-629.1866099,-273.1758935,87.15319615
2231997.223,974059.1463,45.81051526,2646539.128,-254.1492596,514.9387239,1681.975921,-620.5851482,-251.9103432,82.14832509
2288718.332,880861.7593,42.43341993,2793043.068,-361.2398633,698.0587416,1717.011471,-698.1506359,-345.6099411,28.49053199
2306319.075,734444.0516,36.34902479,3065460.489,-366.8017223,706.2842533,1743.814031,-706.2667831,-348.7612929,54.8502474
2104727.919,965573.8037,59.44761935,2390993.229,-15.26159473,17.36202252,1784.14586,-399.2802527,-34.1733809,198.6528915
2228349.371,615609.2199,38.17622587,2856942.639,-179.0827322,379.1706065,1803.922748,-556.6780499,-168.6402207,206.4880414
2345078.368,804092.1831,38.56315041,2888621.517,-464.4924931,885.8656414,1833.375767,-778.6059471,-441.2972382,-48.51538918
2180443.375,771833.0607,43.40586923,2655666.553,-116.5453671,272.7035737,1881.34446,-522.1059721,-124.7899046,206.3710436
2115376.929,1081223.981,57.99900243,2482775.362,-35.26933603,17.36137566,1902.511395,-412.7980842,-42.60997244,210.7163712
2375896.163,889372.3843,34.8579599,2864801.492,-531.1966923,1014.257809,1912.100694,-834.7576898,-509.7166881,-132.5220611
2306498.225,946935.2308,37.31587594,2761868.582,-410.8165014,790.0798665,1977.241187,-740.9609667,-389.5261298,-18.47082915
2348617.083,900999.509,36.53020288,2826998.901,-477.5100425,910.0997423,2012.140485,-810.8373265,-463.3256592,-89.16822497
2206643.174,1041257.99,49.47372576,2613367.376,-215.7504975,444.3922746,2037.722452,-579.223808,-203.3642012,128.0239485
2212339.901,1060593.422,50.2425519,2592268.384,-217.8679408,448.4531245,2043.931038,-595.0320066,-213.2837358,129.3732189
2290254.534,1099743.047,48.51657818,2701559.656,-367.4735181,711.1864399,2050.949336,-724.0212013,-356.2069828,28.27508602
2134724.76,1094289.065,55.3699276,2511641.765,-53.88919051,42.26657458,2059.724185,-454.2727899,-70.08410764,218.6726853
2219407.479,945510.2464,52.09706762,2603011.583,-241.3741987,490.1364764,2094.731138,-602.638373,-230.8363526,112.2534305
2207827.378,921014.9646,54.72248236,2616744.607,-218.589503,449.7932381,2132.931965,-587.1503207,-207.2663038,137.797427
2200111.159,1096851.922,56.27351996,2634441.421,-191.5041586,403.7146365,2153.260112,-576.3379045,-189.7475309,159.594524
2147603.72,1032643.553,59.28735358,2482185.011,-108.0400079,253.0454825,2172.966184,-483.2214709,-100.7790178,193.0431557
2128817.578,1015580.526,66.41270368,2481327.945,-72.47270584,101.9138388,2187.858582,-450.0885575,-75.38298932,194.5381002
2148028.284,1001378.019,69.46751111,2475926.365,-113.7749892,277.3349359,2212.528673,-490.4345928,-110.5225417,175.6199892
2233193.803,956280.4093,64.85982423,2672314.415,-277.1323239,556.1777667,2238.37061,-650.6192731,-268.2689288,90.00002021
2291903.896,1025863.147,58.3085094,2617706.944,-394.2887308,762.8408862,2258.311482,-752.9202683,-381.8012655,-5.337146887
2191816.26,1008563.194,64.94021788,2509081.627,-198.3590576,422.0407076,2296.168953,-580.9656804,-191.6434723,137.3077694
2079134.351,1024624.967,71.69434823,2356201.397,15.29209555,-42.9407768,2301.292525,-363.8241834,7.24448438,240.7436181
2215953.546,1162493.267,66.45583562,2594784.686,-235.6688559,481.5555474,2300.916114,-608.3913592,-217.747328,169.5053685
2271029.688,1285595.746,60.17114475,2772856.549,-305.8506785,601.1350205,2286.771191,-683.8181229,-297.1404383,136.2897368
2360444.605,1239669.892,49.75683447,2946647.225,-498.5239094,943.1200948,2288.037026,-835.8499949,-484.6658891,-78.42447938
2466084.215,1195307.221,43.72503801,3129875.962,-700.3851363,1345.919871,2301.925034,-998.2248928,-680.7228938,-325.1619134
2239534.859,1271842.129,60.21737944,2722662.358,-243.6845486,494.6193812,2336.671541,-632.1470149,-235.6232618,185.2932686
2348967.753,1234587.548,54.99880957,2875215.52,-482.9563596,914.1130639,2375.741418,-829.2789018,-466.155562,-37.30761575
2213913.121,1176099.659,65.24625741,2610137.022,-207.7163026,433.5571234,2396.296856,-614.0343163,-210.3989499,184.2864634
2294995.904,1299584.113,58.67425292,2851880.874,-348.9815946,671.8534563,2396.649906,-733.9302752,-346.5884093,96.16870863
2299750.875,1235342.873,63.32718063,2727466.099,-394.3446082,754.0090133,2415.18857,-752.1313192,-373.3053027,60.06097145
2405156.953,1054246.061,55.29828885,3024705.155,-619.4834717,1186.05245,2460.531123,-951.7375878,-599.0535271,-227.4355562
2304463.534,1354281.501,59.81437629,2878539.452,-364.648205,699.6654417,2473.146123,-743.7839953,-354.0348177,104.6658151
2265498.163,1426941.99,58.24522625,2969653.995,-276.1783251,547.6887061,2468.17784,-655.0521665,-250.5507951,215.1662335
2079134.351,1024624.967,67.73069007,2356201.397,20.58630354,-51.15858669,2470.23976,-364.0284674,14.88194515,263.3494966
2115376.929,1081223.981,68.22250962,2406461.156,-38.98401564,27.68063285,2472.254931,-437.9601421,-40.43077801,259.696898
2464028.8,1394053.611,51.86955835,3025317.725,-658.2354735,1256.717766,2477.24073,-971.9555732,-649.1523971,-277.0008883
2404940.144,1324176.48,55.48958343,2897461.584,-566.6736533,1070.376796,2468.863318,-918.6995203,-564.9510822,-153.0856275
2537367.227,1400825.863,46.02514256,3076326.02,-800.1824967,1551.484128,2462.616048,-1073.897798,-771.203796,-430.1155059
2418099.808,1335369.413,50.35892305,2914737.536,-606.1257436,1143.237821,2457.807056,-941.818758,-588.4998776,-175.5373015
2471183.228,1338640.722,48.53104859,2975571.496,-697.0378128,1324.564222,2508.324148,-1030.2732,-686.9805098,-310.1869838
2600634.216,1344761.734,44.90055232,3136363.723,-923.0449762,1804.170568,2544.351189,-1189.569998,-901.793867,-571.9258864
2660209.817,1380845.543,38.19983555,3228527.316,-1011.327921,2007.198224,2565.304769,-1236.07522,-977.2570357,-675.2383566