ts,X,Y
1,2091872,996099
2,2163133,999691
3,2163133,999691
4,2188879,1006324
5,2188873,1022169
6,2184779,1024789
7,2180241,997370
8,2188549,1003604
9,2204187,996484
10,2234440,982898
11,2228744,1016866
12,2223309,965477
13,2242284,1067406
14,2266402,1057748
15,2287123,1031489
16,2285655,1002104
17,2304314,1049368
18,2248444,932697
19,2290054,923402
20,2048493,970146
21,2083993,999038
22,2369849,916055
23,2386810,1037062
24,2160567,933908
25,2158551,998915
26,2193176,980348
27,2131193,940538
28,2161429,916349
29,2222908,1003529
30,2222908,1003529
31,2371063,929451
32,2281364,1075591
33,2179992,1031429
34,2215115,982256
35,2242716,1130298
36,2162739,988451
37,1986719,969348
38,2253018,942035
39,2172508,987066
40,2027263,926776
41,2276956,937692
42,2427050,969075
43,2425686,843541
44,2193731,974527
45,2348567,1151287
46,2386934,1123882
47,2393756,1033829
48,2284057,1131418
49,2429653,1296235
50,2449517,1136111
51,2547873,1164035
52,2464095,1255034
53,2568113,1112702
54,2336275,1112275
55,2531255,1212715
56,2618065,1308586
57,2570344,1271007
58,2510182,1354090
59,2342187,1228518
60,2499415,1463708
61,2384452,1118587
62,2443315,1086567
63,2282417,1118195
64,2282417,1118195
65,2282417,1118195
66,2282417,1118195
67,2467295,1057546
68,2488416,998334
69,2491811,1037538
70,2427972,1049923
71,2247206,933774
72,2245383,1053094
73,2351916,1138464
74,2171590,1081251
75,2375235,1038682
76,2492984,1000864
77,2061577,1003624
78,2300911,802374
79,2355601,846365
80,2220889,868611
81,2123566,962613
82,2461929,1308243
83,2337420,1236206
84,2417632,1277417
85,2221252,1067204
86,2166992,1007400
87,2315252,1063695
88,2125756,938334
89,2177138,867112
90,2191540,885323
91,2178504,1021826
92,2117921,940096
93,2065661,867156
94,2131644,897901
95,2226678,914051
96,2202870,844786
97,2140690,865041
98,2079499,903627
99,2233238,858907
100,2301649,829420
101,2377834,950438
102,2472951,868370
103,2311447,816133
104,2384404,874398
105,2203152,804006
106,2291320,689098
107,2262308,749467
108,2356243,642400
109,2226189,575667
110,2237126,537791
111,2162771,893372
112,2107506,873758
113,2461451,1023950
114,2381616,979387
115,2597061,1146069
116,2488706,1099264
117,2510996,1179609
118,2639393,1070317
119,2759911,1152243
120,2848095,1257176